TICKET_NO:  LOCATION: DESTINATION: DISTANCE: VEHICLE(1-MAX(5)): PEOPLE: TIME: ADVANCE_BOOKING: PROMOCODE: BILL:

1 chennai trichy 200 1 2 12.30000 0 0 2100
2 chennai salem 400 1 2 1 3.400000 0 0 3115
3 chennai tiruvannamalai 168 3 1 1 10.500000 0 0 4271
4 madurai arani 650 2 3 1 4.300000 0 0 9417
5 trichy salem 140 1 3 2 3.400000 0 0 3635
6 tirupathi salem 310 2 3 1 5.300000 0 0 7917
7 munar ooty 237 3 2 2 7.000000 0 0 6012
8 trichy tiruannamalai 372 4 4 1 10.300000 1 1 9423
9 chennai salem 345 1 2 2 2.300000 0 0 7020
10 kelambakkam TNgar 0 2 1 1 10.500000 0 0 70
11 Adyar Tambaram 0 2 3 1 9.500000 0 0 100
12 chennai salem 0.000000 2 4 1 2.300000 0 0 115
14 chennai mumbai 1345 2 2 1 5.450000 0 0 27006
15 salem madurai 234 1 1 1 4.300000 0 0 3592
16 chennai madurai 430 2 2 1 10.500000 0 0 6570
17 pollachi virudhachalam 331 1 1 1 10.300000 0 0 5047
19 kalavakkam/tamil+nadu arunachaleshwara+temple,tiruvannamalai 160 2 3 1 8.300000 0 1 2520
